id,cedula,nombres y apellidos,direccion,celular,correo electronico,pais,valor factura,servicio,fecha instalacion,comentarios,observaciones
1,45673849,ana gonzalez,cl 2 #123-34,3114562728,ag@gmail.com,colombia,45000,hogarr,5/3/2023,.,.
2,38755920,berta cruz,carrera 3 # 23-23,3108976542,berta@hotmail.com,colombiaaa,34876,rogar,6/30/2022,*,
3,867433939,roberto     rios ,cl 32 #45-23,3004567283,,chile,23456,comercio,8 de junio de 2024.,na,
4,387575741,mariacastro,carrera 32 # 34-43,3057893245,mcastro@yahoo.com,chiles,45000,comerciio,2021-23-1,,
5,12234421,       marrria   rios,cl132 #145-123,3125578930,lindatriana@gmail.com,japonn,450000,comercio,4/20/2022,.,*
6,1112345632,linda trianaaa,carrera 31 # 231-231,3219847262,,rapon,,hogar,2/12/2021,,
7,24282u982,dilberto carrillo,cl 302 #55-53,,dilcarr@gmail.com,pero,23000,hogar,,na,
8,737484,estella calderon,carrera 39 # 423-123,3114566789,ecald@hotmail.com,peru,23000,comercio,8 de junio de 2021.,,
2,38755920,berta cruz,carrera 3 # 23-23,3108976542,berta@hotmail.com,colombiaaa,34876,rogar,6/30/2022,,
1,45673849,ana gonzalez,cl 2 #123-34,3114562728,ag@gmail.com,colombia,45000,hogarr,5/3/2023,,
9,6472829,luis perez,cr23 #67-55,3002345780,,Ecuador,54000,comerciooo,5/3/2023,,
10,4569303,    angel ruiz,Cr 33 #98-34,3013013011,a.ruiz@gmail.com,venezuela,680000,comercio,7/10/2024,.,.
11,46583920,ilen gonzalez,cl 45 #89-45,3220498586,igonz@yahoo.co,hoduras,89000,hogar,5/30/2022,precio muy elevado,na
12,58393030,Elena alvarez,Cl 12 #85-44,3111111111,ealv@hormail.com,nicaragua,45960,comerrr,10.07/2024,na,na
13,23564748,  luis cano,,3220985622,lcano1@hotmail.com,espa¤a,69702,loguearrr,5/3/2021,",",","
14,84854959,ricardo calderon r,,3508976543,ricardocr@gmail.com,italia,,hogar,2/2/2000,,
10,46583920,ilen gonzalez,cl 45 #89-45,3220498586,igonz@yahoo.co,hoduras,89000,hogar,6/5/2023,.,.
na,na,na,na,na,na,na,na,na,na,na,no opino
na,na,na,na,na,na,na,na,na,na,na,na
